Date,Open,High,Low,Close
2014-11-07,451.32462,456.53742,450.92626,455.26124
2014-11-09,455.20850,456.84329,454.93955,455.71476
2014-11-10,455.70421,457.89271,452.40787,453.22279
2014-11-11,456.81717,460.01442,456.37398,458.49493
2014-11-12,458.53714,461.37036,455.66450,458.27811
2014-11-13,458.27285,461.17221,455.67677,457.83214
2014-11-14,457.85317,462.86874,454.52023,461.35980
2014-11-16,461.96654,463.25389,461.64998,461.94016
2014-11-17,461.96127,464.07167,456.40788,456.78599
2014-11-18,456.80174,459.31721,454.24992,456.26520
2014-11-19,456.26520,456.41700,449.01204,449.20531
2014-11-20,449.26799,451.70828,447.23605,450.44322
2014-11-21,450.41708,460.79910,449.61728,457.93043
2014-11-23,457.87760,458.67005,457.56062,457.80892
2014-11-24,455.50678,455.95618,453.11460,455.33760
2014-11-25,455.43805,455.55965,447.92383,450.76668
2014-11-26,450.71914,452.50479,445.23411,448.57008
2014-11-27,448.57008,452.59951,446.96776,447.68224
2014-11-28,447.69800,448.62261,445.56957,446.59381
2014-11-30,446.98775,446.98775,443.67867,445.19139
2014-12-01,445.15463,448.26079,441.99788,446.19071
2014-12-02,446.19597,452.40019,442.85968,447.29485
2014-12-03,447.25777,451.13241,443.91070,446.72292
2014-12-04,446.69096,448.97603,442.81178,446.31278
2014-12-05,446.30745,447.44148,440.59444,440.78535
2014-12-06,440.78535,440.78535,440.78535,440.78535
2014-12-07,439.51263,440.97096,439.40657,439.89975
2014-12-08,439.85733,444.92314,437.76264,443.55482
2014-12-09,443.56017,447.44064,434.84980,438.51014
2014-12-10,438.51014,441.85434,436.91271,440.20292
2014-12-11,440.18704,443.32579,433.30318,435.97259
2014-12-12,435.80905,437.80846,432.89984,433.90010
2014-12-13,433.84745,433.84745,433.84745,433.84745
2014-12-14,434.42655,434.66345,433.00513,434.34758
2014-12-15,434.33179,435.26887,431.03923,431.73335
2014-12-16,431.78068,435.09879,429.56378,430.64332
2014-12-17,430.64332,434.87557,424.78968,427.74703
2014-12-18,427.72599,438.04554,426.83696,436.41336
2014-12-19,436.41336,437.41185,433.10806,434.24965
2014-12-21,434.22831,435.61528,433.79621,434.06294
2014-12-22,434.03093,438.27713,433.05472,434.43825
2014-12-23,434.43825,438.48374,432.45359,435.75415
2014-12-24,435.70039,436.68411,434.90388,435.89779
2014-12-25,435.88167,436.73053,435.30144,436.10732
2014-12-26,436.10732,436.90245,435.17250,436.13955
2014-12-27,436.13955,436.13955,435.92465,435.92465
2014-12-30,436.68519,441.94201,436.23386,440.61787
