Date,Open,High,Low,Close
2014-11-10,464.39001,464.42999,464.26001,464.39999
2014-11-11,463.84000,463.95999,463.79001,463.79001
2014-11-12,463.73999,463.79999,463.73001,463.79999
2014-11-13,465.76001,465.79999,465.72000,465.75000
2014-11-14,461.73999,461.87000,461.73999,461.85999
2014-11-17,463.79001,463.79001,463.25000,463.25000
2014-11-18,465.98999,465.98999,465.81000,465.81000
2014-11-19,462.07999,462.42001,462.07999,462.42001
2014-11-20,460.62000,460.81000,460.51999,460.51999
2014-11-21,462.09000,462.14999,462.01001,462.14999
2014-11-24,471.64001,471.64001,471.42999,471.54999
2014-11-25,467.12000,467.13000,467.06000,467.07999
2014-11-26,466.88000,466.94000,466.82001,466.82001
2014-11-27,465.85999,465.88000,465.81000,465.87000
2014-11-28,464.04999,464.04999,463.94000,463.94000
2014-12-01,460.35999,460.35999,460.20999,460.32001
2014-12-02,464.35999,464.45001,464.26001,464.26001
2014-12-03,464.23001,464.35001,464.10999,464.35001
2014-12-04,468.38000,468.48001,468.35999,468.48001
2014-12-05,464.85999,464.85999,464.56000,464.69000
2014-12-08,465.97000,466.10001,465.97000,466.10001
2014-12-09,463.57001,463.70001,463.50000,463.63000
2014-12-10,462.56000,462.64001,462.51999,462.57001
2014-12-11,458.04999,458.04999,457.73001,457.87000
2014-12-12,458.76999,458.91000,458.76999,458.81000
2014-12-15,454.87000,454.89999,454.64001,454.79999
2014-12-16,451.98001,451.98001,451.76001,451.82001
2014-12-17,450.47000,450.70001,450.47000,450.70001
2014-12-18,456.79999,456.94000,456.73001,456.73001
2014-12-19,460.56000,460.76001,460.56000,460.76001
2014-12-22,461.82999,462.04999,461.78000,462.04999
2014-12-23,460.63000,460.76999,460.63000,460.73001
2014-12-24,463.31000,463.31000,463.20001,463.20999
2014-12-25,462.44000,462.44000,462.32001,462.32001
2014-12-26,461.89999,462.07001,461.79001,461.79001
2014-12-31,464.48001,464.64999,464.48001,464.64999
2015-01-01,466.79001,466.79001,466.51001,466.66000
2015-01-02,466.76001,466.94000,466.76001,466.89999
2015-01-05,464.89999,465.07001,464.76999,464.87000
2015-01-06,467.00000,467.07999,466.97000,467.07999
2015-01-07,466.14999,466.47000,466.14999,466.47000
2015-01-08,468.67999,468.70999,468.51001,468.70999
2015-01-09,470.03000,470.10999,469.94000,470.10999
2015-01-12,466.09000,466.38000,466.09000,466.17001
2015-01-13,462.92001,462.92001,462.78000,462.92001
2015-01-14,465.57999,465.70999,465.57001,465.70999
2015-01-15,465.76001,465.85001,465.76001,465.81000
2015-01-16,470.94000,471.32999,470.70001,471.13000
2015-01-19,473.56000,473.89001,473.56000,473.88000
2015-01-20,472.94000,473.16000,472.92999,472.98999
2015-01-21,468.85999,468.85999,468.76001,468.76999
2015-01-22,457.16000,457.63000,457.16000,457.63000
2015-01-23,465.88000,466.70001,465.88000,466.39999
2015-01-26,471.41000,471.64001,470.62000,471.04999
2015-01-27,467.04001,467.20001,467.00000,467.20001
2015-01-28,465.48999,465.51999,465.16000,465.16000
2015-01-29,463.70001,463.84000,463.56000,463.84000
2015-01-30,458.88000,458.89001,458.76001,458.89001
2015-02-02,456.89001,456.89001,456.51999,456.51999
2015-02-03,459.51001,459.51001,459.17001,459.17001
2015-02-04,459.88000,460.23001,459.88000,459.95001
2015-02-05,459.92001,459.95001,459.54001,459.67999
2015-02-06,459.51001,459.51001,459.14001,459.14001
2015-02-09,462.85001,462.92999,462.73999,462.73999
2015-02-10,463.85999,463.89001,463.64999,463.67999
2015-02-11,460.14001,460.20001,460.13000,460.13000
2015-02-12,459.29999,459.29999,459.04999,459.04999
2015-02-13,459.26001,459.56000,459.25000,459.39001
2015-02-16,461.79999,461.89999,461.73001,461.82001
2015-02-17,463.56000,463.94000,463.51999,463.89999
2015-02-18,464.10001,464.23999,464.10001,464.23999
2015-02-19,461.73001,461.81000,461.69000,461.69000
2015-02-20,461.89001,462.04001,461.89001,461.97000
2015-02-23,459.88000,459.92001,459.73001,459.73001
2015-02-24,460.07001,460.07001,459.98001,459.98001
2015-02-25,462.79999,463.53000,462.79999,463.53000
2015-02-26,464.12000,464.20001,464.06000,464.12000
2015-02-27,467.92001,468.03000,467.73001,468.03000
2015-03-02,469.09000,469.20999,469.09000,469.14001
2015-03-03,467.56000,467.59000,467.48001,467.48001
2015-03-04,469.54001,469.64001,469.53000,469.53000
2015-03-05,476.23001,476.35999,476.20001,476.20001
2015-03-06,476.04001,476.20001,476.03000,476.07999
2015-03-09,479.39999,479.45999,479.37000,479.37000
2015-03-10,479.29001,479.47000,479.29001,479.39001
2015-03-11,482.94000,482.97000,482.87000,482.92999
2015-03-12,487.81000,487.98001,487.69000,487.98001
2015-03-13,486.16000,486.29001,486.13000,486.20999
2015-03-16,488.01001,488.01001,487.72000,487.72000
2015-03-17,485.59000,485.59000,485.48001,485.48001
2015-03-18,483.89001,483.92001,483.73999,483.73999
2015-03-19,481.56000,481.56000,479.75000,479.75000
2015-03-20,483.87000,483.98999,483.73001,483.98999
2015-03-23,481.51001,481.85999,481.47000,481.85999
2015-03-24,478.37000,478.67001,478.37000,478.67001
2015-03-25,480.51999,480.59000,480.32999,480.34000
2015-03-26,477.29001,477.39999,477.29001,477.38000
2015-03-27,482.67001,482.67999,482.60999,482.62000
2015-03-30,477.76999,478.19000,477.76999,478.10999
2015-03-31,477.35001,477.42999,477.20999,477.20999
2015-04-01,481.00000,481.00000,480.60999,480.60999
2015-04-02,482.64001,482.78000,482.59000,482.59000
2015-04-03,480.16000,480.17001,480.01999,480.04999
2015-04-06,478.20999,478.32001,478.10001,478.25000
2015-04-07,480.51999,480.51999,480.32001,480.32001
2015-04-08,484.31000,484.39001,484.26999,484.32999
2015-04-09,484.54001,484.89999,484.54001,484.89999
2015-04-10,488.54001,488.62000,488.39001,488.39001
2015-04-13,491.42001,491.54999,491.42001,491.44000
2015-04-14,492.35999,492.35999,492.22000,492.22000
2015-04-15,493.48001,493.67001,493.48001,493.60999
2015-04-16,499.17001,499.23999,497.82001,498.23001
2015-04-17,499.57999,499.57999,498.92999,499.10999
2015-04-20,497.04001,497.04001,496.79999,497.01001
2015-04-21,498.73001,498.75000,498.66000,498.66000
2015-04-22,497.51999,497.81000,497.51999,497.75000
2015-04-23,499.23999,499.44000,499.23001,499.44000
2015-04-24,498.92001,499.20999,498.92001,499.12000
2015-04-27,495.56000,495.64999,495.54001,495.59000
2015-04-28,498.35999,498.54001,498.29999,498.29999
2015-04-29,496.48001,496.60001,496.44000,496.50000
2015-04-30,490.66000,490.76999,490.66000,490.75000
2015-05-01,483.84000,483.84000,483.64001,483.64001
2015-05-04,481.64999,481.75000,481.50000,481.75000
2015-05-05,486.26999,486.42001,486.25000,486.25000
2015-05-06,485.48001,485.54001,485.32001,485.32001
2015-05-07,480.07001,480.19000,480.06000,480.07001
2015-05-08,481.32999,481.45999,481.20001,481.45999
2015-05-11,484.48001,484.48001,484.29001,484.35001
2015-05-12,486.31000,486.31000,486.03000,486.03000
2015-05-13,486.67001,486.75000,486.50000,486.53000
2015-05-14,483.19000,483.26999,483.14001,483.14001
2015-05-15,479.66000,479.66000,479.54001,479.60001
2015-05-18,476.79001,476.79001,476.62000,476.62000
2015-05-19,476.57001,476.57001,476.37000,476.37000
2015-05-20,480.89001,481.16000,480.89001,481.10999
2015-05-21,483.78000,483.85999,483.78000,483.82001
2015-05-22,483.66000,483.66000,483.51001,483.51001
2015-05-25,485.09000,485.56000,484.97000,485.56000
2015-05-26,485.29999,485.42001,485.29999,485.32999
2015-05-27,484.81000,484.81000,484.70999,484.70999
2015-05-28,483.01001,483.13000,483.01001,483.01999
2015-05-29,481.51999,481.51999,481.39001,481.42999
2015-06-01,480.20001,480.59000,480.10999,480.48001
2015-06-02,479.12000,479.14001,479.07001,479.07001
2015-06-03,473.79999,474.01999,473.59000,474.00000
2015-06-04,467.26999,467.32999,467.26001,467.32999
2015-06-05,467.76001,468.01001,467.76001,468.01001
2015-06-08,473.97000,474.01001,473.82999,473.82999
2015-06-09,468.19000,468.26001,468.16000,468.23999
2015-06-10,470.39999,470.39999,470.20001,470.20999
2015-06-11,472.10001,472.39999,472.10001,472.35999
2015-06-12,474.17999,474.17999,474.01999,474.17001
2015-06-15,474.10999,474.38000,474.10999,474.38000
2015-06-16,472.04999,472.10001,472.01999,472.03000
2015-06-17,474.23001,474.29001,474.14999,474.17001
2015-06-18,471.82001,471.91000,471.59000,471.60999
2015-06-19,471.53000,471.53000,471.34000,471.39001
2015-06-22,470.01001,470.01001,469.95001,470.00000
2015-06-23,469.32001,469.32001,469.20999,469.25000
2015-06-24,476.01001,476.19000,476.01001,476.14001
2015-06-25,472.20999,472.38000,472.20999,472.34000
2015-06-26,474.54001,474.82001,474.54001,474.79001
2015-06-29,482.82001,482.82001,481.81000,481.92999
2015-06-30,471.13000,471.20001,471.03000,471.20001
2015-07-01,471.85001,471.95001,471.82999,471.88000
2015-07-02,471.59000,471.64999,471.47000,471.57999
2015-07-03,471.39999,471.39999,470.98001,470.98001
2015-07-06,472.37000,472.37000,471.95001,471.95001
2015-07-07,468.87000,468.88000,468.75000,468.75000
2015-07-08,468.55000,468.55000,468.20000,468.39000
2015-07-09,464.81000,464.90000,464.77000,464.90000
2015-07-10,466.49000,466.49000,466.10000,466.32000
2015-07-13,463.90000,463.90000,463.63000,463.63000
2015-07-14,467.94000,468.07000,467.84000,467.84000
2015-07-15,467.71000,467.90000,467.71000,467.86000
2015-07-16,463.55000,463.68000,463.48000,463.48000
2015-07-17,464.40000,464.55000,464.40000,464.55000
2015-07-20,466.03000,466.06000,465.86000,466.02000
2015-07-21,465.61000,465.75000,465.59000,465.75000
2015-07-22,462.92000,462.92000,462.59000,462.59000
2015-07-23,460.09000,460.09000,459.93000,459.93000
2015-07-24,458.04000,458.13000,457.95000,458.13000
2015-07-27,458.18000,458.18000,457.87000,457.87000
2015-07-28,453.34000,453.61000,453.34000,453.59000
2015-07-30,461.05000,461.45000,461.05000,461.38000
2015-07-31,460.80000,461.11000,460.70000,461.11000
2015-08-03,455.23000,455.50000,455.23000,455.32000
