Date,Open,High,Low,Close
2014-11-10,545.03998,545.12000,545.00000,545.00000
2014-11-11,545.00000,545.09003,545.00000,545.09003
2014-11-12,544.77002,544.87000,544.77002,544.87000
2014-11-13,545.38000,545.45001,545.31000,545.42999
2014-11-14,545.41998,545.45001,545.40997,545.40997
2014-11-17,545.81000,545.83002,545.76001,545.82001
2014-11-18,545.78003,545.78003,545.66998,545.69000
2014-11-19,545.77002,545.78003,545.67999,545.77002
2014-11-20,545.77002,545.83002,545.77002,545.83002
2014-11-21,545.37000,545.42999,545.37000,545.42999
2014-11-24,545.13000,545.29999,545.09003,545.21997
2014-11-25,545.21002,545.22998,545.13000,545.21002
2014-11-26,545.16998,545.25000,545.13000,545.13000
2014-11-27,545.44000,545.46002,545.42999,545.42999
2014-11-28,545.46002,545.46002,545.46002,545.46002
2014-12-01,544.78998,544.85999,544.78998,544.85999
2014-12-02,545.00000,545.09998,545.00000,545.02002
2014-12-03,544.56000,544.56000,544.45001,544.53998
2014-12-04,544.77002,544.81000,544.63000,544.81000
2014-12-05,545.28998,545.29999,545.26001,545.28998
2014-12-08,545.09998,545.19000,545.09998,545.19000
2014-12-09,545.32001,545.38000,545.32001,545.38000
2014-12-10,545.34998,545.39001,545.34003,545.39001
2014-12-11,544.88000,544.98999,544.88000,544.98999
2014-12-12,545.81000,545.84003,545.81000,545.84003
2014-12-15,545.79999,545.83002,545.71997,545.82001
2014-12-16,545.85999,545.94000,545.85999,545.94000
2014-12-17,545.95001,545.96997,545.92999,545.96997
2014-12-18,545.96002,545.96002,545.85999,545.96002
2014-12-19,544.45001,544.53998,544.45001,544.53003
2014-12-22,544.82001,544.88000,544.82001,544.88000
2014-12-23,544.90002,544.90002,544.84998,544.89001
2014-12-24,545.22998,545.22998,545.15997,545.17999
2014-12-25,545.23999,545.23999,545.21997,545.22998
2014-12-26,545.21002,545.23999,545.20001,545.20001
2014-12-31,545.31000,545.31000,545.26001,545.28003
2015-01-02,545.32001,545.32001,545.26001,545.26001
2015-01-05,545.63000,545.63000,545.59998,545.63000
2015-01-06,545.71002,545.71002,545.66998,545.66998
