Date,Open,High,Low,Close
2014-11-07,85.59370,86.11625,85.59370,86.11625
2014-11-09,86.11625,86.11625,86.11625,86.11625
2014-11-10,86.11625,86.22172,85.80240,85.90755
2014-11-11,86.10432,86.10432,86.10432,86.10432
2014-11-12,86.10432,86.15708,85.58833,85.87584
2014-11-13,85.87584,85.87584,85.58396,85.79424
2014-11-14,85.79424,86.15708,85.58396,86.05156
2014-11-16,86.05156,86.05156,86.05156,86.05156
2014-11-17,86.05156,86.10432,85.65197,85.70448
2014-11-18,85.70448,85.80951,85.37470,85.47939
2014-11-19,85.47939,85.58408,85.29975,85.35199
2014-11-20,85.35199,85.41735,85.19528,85.36508
2014-11-21,85.36508,86.27139,85.26053,86.21856
2014-11-23,86.21856,86.21856,86.21856,86.21856
2014-11-24,86.07236,86.07236,85.74290,86.07236
2014-11-25,86.07236,86.12523,85.47924,86.06007
2014-11-26,86.06007,86.11290,85.42191,85.52698
2014-11-27,85.52698,85.68458,85.42191,85.52698
2014-11-28,85.63205,85.63205,85.30060,85.45817
2014-11-30,85.45817,85.45817,85.45817,85.45817
2014-12-01,85.45817,85.64020,85.14302,85.37750
2014-12-02,85.37750,86.32480,85.32496,86.11296
2014-12-03,86.11296,86.84640,86.00704,86.55563
2014-12-04,86.55563,86.76869,86.11260,86.60889
2014-12-05,86.60889,86.84199,86.12072,86.22678
2014-12-06,86.22678,86.22678,86.22678,86.22678
2014-12-07,86.22678,86.22678,86.22678,86.22678
2014-12-08,86.22678,87.12350,85.85557,86.58900
2014-12-09,86.58900,86.58900,85.21385,85.47832
2014-12-10,85.47832,85.74660,85.31964,85.69367
2014-12-11,85.69367,85.74660,85.19932,85.19932
2014-12-12,85.19932,85.30483,84.86374,85.07432
2014-12-14,85.07432,85.07432,85.07432,85.07432
2014-12-15,85.07432,85.07432,84.81960,84.92477
2014-12-16,84.92477,84.92477,84.47686,84.63407
2014-12-17,84.63407,85.28007,84.52926,84.85186
2014-12-18,84.85186,86.13420,84.53623,85.91256
2014-12-19,85.91256,86.28632,85.61873,85.72542
2014-12-21,85.72542,85.72542,85.72542,85.72542
2014-12-22,85.72542,86.65800,85.67207,85.96647
2014-12-23,85.96647,86.52088,85.85948,86.33053
2014-12-24,86.33053,86.43804,86.17490,86.38980
2014-12-25,86.38980,86.76587,86.33607,86.38980
2014-12-26,86.65842,86.65842,86.22862,86.38980
2014-12-30,86.12919,86.84650,86.12919,86.82232
2014-12-31,86.82232,86.93004,86.49677,86.82232
2015-01-01,86.82232,86.82232,86.71460,86.82232
2015-01-02,86.82232,87.90236,86.39144,87.84783
2015-01-05,87.84783,88.96080,87.52065,88.44124
2015-01-06,88.44124,88.70295,88.26576,88.49500
2015-01-07,88.49500,89.40330,88.49500,89.25928
2015-01-08,89.25928,89.58107,89.09285,89.58107
2015-01-09,89.58107,89.71659,89.17883,89.66090
2015-01-10,89.66090,89.66090,89.66090,89.66090
2015-01-11,89.66090,89.66090,89.66090,89.66090
2015-01-12,89.66090,89.82797,89.16180,89.48212
2015-01-13,89.48212,89.80378,89.37110,89.77958
2015-01-14,89.77958,89.83524,89.29060,89.45698
2015-01-15,89.45698,91.41712,89.07792,91.41712
2015-01-16,91.41712,91.52216,90.96456,91.23898
2015-01-17,91.23898,91.23898,91.23898,91.23898
2015-01-18,91.23898,91.23898,91.23898,91.23898
2015-01-19,91.23898,91.23898,90.66645,90.77943
2015-01-20,90.77943,91.38316,90.72294,91.38316
2015-01-21,91.38316,91.38316,90.44992,90.91654
2015-01-22,90.91654,92.44620,90.73151,92.44620
2015-01-23,92.44620,92.67278,92.15910,92.16552
2015-01-25,92.16552,92.16552,92.16552,92.16552
2015-01-26,92.16552,92.51006,90.33360,90.50340
2015-01-27,90.50340,92.89803,90.44680,92.85800
2015-01-28,92.85800,93.43800,91.82258,92.49600
2015-01-29,93.13191,93.48633,92.12910,92.84800
2015-01-30,92.84800,93.48633,91.80990,92.75200
2015-02-01,92.75200,92.75200,92.75200,92.75200
2015-02-02,92.75200,92.77600,91.63733,92.36249
2015-02-03,92.36249,93.17218,91.51313,91.68525
2015-02-04,91.68525,91.80000,91.38832,91.70400
2015-02-05,91.70400,92.47140,91.53206,91.67547
2015-02-06,91.67547,91.90480,91.48679,91.60122
2015-02-07,91.60122,91.60122,91.60122,91.60122
2015-02-08,91.60122,91.60122,91.60122,91.60122
2015-02-09,91.60122,93.08421,91.42957,92.96800
2015-02-10,92.96800,93.60715,91.98247,92.82789
2015-02-11,92.82789,93.44605,92.71200,92.86600
2015-02-12,92.86600,92.92401,91.86255,92.66588
2015-02-13,92.66588,92.72376,91.53718,92.20311
2015-02-15,92.20311,92.20311,92.20311,92.20311
2015-02-16,92.20311,92.31822,91.94250,92.00000
2015-02-17,92.00000,92.63250,91.80510,91.81309
2015-02-18,91.81309,92.15666,91.70772,92.15666
2015-02-19,92.15666,92.21433,91.86742,92.09274
2015-02-20,92.09274,92.74200,92.03511,92.68400
2015-02-22,92.68400,92.68400,92.68400,92.68400
2015-02-23,92.68400,93.43800,92.33854,92.39636
2015-02-24,92.39636,92.53219,92.09133,92.38038
2015-02-25,92.38038,93.13191,92.01365,92.31458
2015-02-26,92.31458,93.36315,92.08336,92.56212
2015-02-27,92.56212,94.28378,92.38824,93.46443
2015-02-28,93.46443,93.46443,93.46443,93.46443
2015-03-01,93.46443,93.46443,93.46443,93.46443
2015-03-02,93.46443,93.50435,92.82654,93.17727
2015-03-03,93.17727,93.60765,92.88499,93.54892
2015-03-04,93.54892,94.40465,93.49020,94.01412
2015-03-05,94.01412,94.94237,93.89616,94.36818
2015-03-06,94.36818,96.27870,94.24985,95.35302
2015-03-08,95.35302,95.35302,95.35302,95.35302
2015-03-09,95.35302,96.43830,95.11404,95.35621
2015-03-10,95.35621,95.41595,95.17379,95.35302
2015-03-11,95.35302,96.24920,95.16582,95.40478
2015-03-12,95.40478,98.61475,95.10608,97.73640
2015-03-13,97.73640,97.73640,97.55280,97.73640
2015-03-15,97.73640,97.73640,97.73640,97.73640
2015-03-16,97.73640,98.59320,97.49160,97.67520
2015-03-17,97.67520,98.76800,97.61400,98.76800
2015-03-18,98.76800,99.72090,98.76800,99.34950
2015-03-19,99.34950,99.90660,98.66738,99.15918
2015-03-20,99.15918,99.62640,97.66630,97.78770
2015-03-22,97.78770,97.78770,97.78770,97.78770
2015-03-23,97.78770,97.84840,97.04280,97.20774
2015-03-24,97.20774,97.32857,96.62045,97.22385
2015-03-25,97.22385,97.22385,96.07800,97.04280
2015-03-26,97.04280,97.16350,97.04280,97.16350
2015-03-27,97.16350,97.16350,96.84586,96.96639
2015-03-29,96.96639,96.96639,96.96639,96.96639
2015-03-30,96.96639,97.48161,96.90612,97.48161
2015-03-31,97.48161,97.81232,97.48161,97.81232
2015-04-01,97.81232,98.33295,97.69104,98.27202
2015-04-02,98.27202,98.33295,96.96609,97.32842
2015-04-03,97.32842,98.41454,97.19131,98.27590
2015-04-06,97.25157,98.27590,96.33159,96.33159
2015-04-07,96.33159,97.63482,96.27190,97.51391
2015-04-08,97.51391,97.57437,97.34951,97.40994
2015-04-09,97.40994,97.67914,97.28909,97.61855
2015-04-10,97.61855,97.61855,97.10780,97.55795
2015-04-11,97.55795,97.55795,97.55795,97.55795
2015-04-12,97.55795,97.55795,97.55795,97.55795
2015-04-13,97.55795,100.06150,97.25498,99.93720
