Date,Open,High,Low,Close
2014-11-10,835.84003,835.92999,835.70001,835.92999
2014-11-11,836.31000,836.47998,836.26001,836.46997
2014-11-12,837.37000,837.47998,837.37000,837.42999
2014-11-13,832.03003,832.03003,831.84998,831.84998
2014-11-14,825.63000,825.87000,825.07001,825.23999
2014-11-17,820.59003,820.59003,820.07001,820.15002
2014-11-18,823.57001,823.57001,823.09998,823.09998
2014-11-19,818.03998,818.08002,817.78998,817.84998
2014-11-20,819.65997,819.76001,819.65997,819.72998
2014-11-21,820.42999,820.56000,820.28003,820.39001
2014-11-24,828.94000,829.15997,828.94000,829.15997
2014-11-25,828.27002,828.28003,828.07001,828.12000
2014-11-26,826.16998,826.16998,825.98999,826.14001
2014-11-27,828.07001,828.15002,827.98999,828.13000
2014-11-28,827.85999,827.90002,827.28998,827.28998
2014-12-01,823.44000,823.53998,822.97998,822.97998
2014-12-02,827.25000,827.52002,827.25000,827.52002
2014-12-03,828.41998,828.46997,828.37000,828.46002
2014-12-04,835.72998,835.89001,835.66998,835.89001
2014-12-05,830.28003,830.31000,829.28003,829.28003
2014-12-08,830.65002,830.91998,830.65002,830.82001
2014-12-09,833.60999,833.67999,833.57001,833.64001
2014-12-10,830.39001,830.44000,830.07001,830.07001
2014-12-11,827.38000,827.38000,826.91998,827.15002
2014-12-12,831.90997,832.17999,831.90997,831.94000
2014-12-15,827.46002,827.64001,827.37000,827.64001
2014-12-16,824.25000,824.37000,824.20001,824.37000
2014-12-17,825.21002,825.46002,825.19000,825.46002
2014-12-18,828.26001,828.76001,828.26001,828.67999
2014-12-19,836.27002,836.51001,836.27002,836.51001
2014-12-22,838.31000,838.38000,838.20001,838.38000
2014-12-23,835.89001,835.95001,835.75000,835.75000
2014-12-24,835.97998,835.97998,835.82001,835.82001
2014-12-25,836.19000,836.46997,836.12000,836.46997
2014-12-26,835.82001,836.03003,835.76001,835.81000
2014-12-31,839.38000,839.64001,839.38000,839.64001
2015-01-02,845.38000,845.57001,845.14001,845.14001
2015-01-05,839.15997,839.23999,838.85999,838.96002
2015-01-06,838.19000,838.45001,838.17999,838.45001
2015-01-07,835.71002,836.14001,835.71002,835.98999
2015-01-08,837.06000,837.08002,836.84998,837.08002
2015-01-09,838.97998,839.09003,838.97998,839.03998
2015-01-12,839.08002,839.08002,838.92999,838.92999
2015-01-13,840.90997,840.96997,840.72998,840.82001
2015-01-14,844.72998,844.97998,844.67999,844.67999
2015-01-15,848.13000,848.62000,848.13000,848.31000
2015-01-16,855.87000,856.92999,855.79999,856.65997
2015-01-19,858.88000,859.21997,858.88000,859.16998
2015-01-20,853.44000,853.65002,853.44000,853.51001
2015-01-21,860.39001,860.39001,859.96002,859.96002
2015-01-22,855.21997,856.21997,855.21997,856.21997
2015-01-23,866.33002,867.42999,866.33002,867.14001
2015-01-26,881.34003,881.34003,880.13000,880.85999
2015-01-27,879.65002,880.15002,879.22998,880.12000
2015-01-28,876.64001,876.76001,876.37000,876.37000
2015-01-29,879.65002,879.94000,879.59003,879.59003
2015-01-30,872.79999,873.02002,872.67999,873.02002
2015-02-02,874.71997,874.72998,874.53003,874.53003
2015-02-03,869.34003,869.34003,869.19000,869.23999
2015-02-04,866.84998,867.00000,866.75000,866.77002
2015-02-05,878.44000,878.44000,877.34998,877.34998
2015-02-06,876.17999,876.32001,875.94000,876.32001
2015-02-09,883.31000,883.47998,883.21997,883.28003
2015-02-10,880.92999,881.01001,880.65002,881.01001
2015-02-11,884.21002,884.23999,883.84998,883.92999
2015-02-12,883.89001,883.89001,883.15002,883.15002
2015-02-13,884.81000,885.13000,884.81000,884.90002
2015-02-16,886.09003,886.34998,885.96997,886.00000
2015-02-17,888.33002,888.76001,888.15997,888.58002
2015-02-18,882.98999,883.04999,882.88000,883.04999
2015-02-19,887.97998,888.09998,887.91998,888.04999
2015-02-20,889.91998,890.09003,889.84998,890.09003
2015-02-23,887.20001,887.64001,887.20001,887.59003
2015-02-24,894.15997,894.21002,893.97998,893.97998
2015-02-25,893.48999,894.58002,893.48999,894.58002
2015-02-26,896.12000,896.14001,895.69000,895.69000
2015-02-27,902.41998,902.53003,902.41998,902.45001
2015-03-02,905.21002,905.35999,905.09998,905.09998
2015-03-03,901.01001,901.08002,900.79999,900.79999
2015-03-04,901.27002,901.38000,901.27002,901.29999
