Data,Open,High,Low,Close
2014-11-07,162.82720,164.20624,162.82720,164.20624
2014-11-09,164.20624,164.20624,164.20624,164.20624
2014-11-10,164.20624,164.20624,163.15074,163.15074
2014-11-11,164.20494,164.20494,164.20494,164.20494
2014-11-12,164.20494,164.23132,163.21753,163.26408
2014-11-13,163.26408,163.76923,163.10894,163.61361
2014-11-14,163.61361,164.20494,163.36128,163.95169
2014-11-16,163.95169,163.95169,163.95169,163.95169
2014-11-17,163.95169,164.33684,163.19037,163.57373
2014-11-18,163.57373,164.98638,163.04421,164.45229
2014-11-19,164.45229,164.45229,163.85074,163.85074
2014-11-20,163.85074,164.23237,163.72015,164.23237
2014-11-21,164.23237,165.97601,163.71484,165.45299
2014-11-23,165.45299,165.45299,165.45299,165.45299
2014-11-24,165.57827,165.71044,165.04586,165.57827
2014-11-25,165.57827,165.84262,164.84229,165.71714
2014-11-26,165.71714,166.49902,164.66044,165.56930
2014-11-27,165.56930,165.56930,165.56930,165.56930
2014-11-28,165.56930,165.56930,164.49779,164.49779
2014-11-30,164.49779,164.49779,164.49779,164.49779
2014-12-01,164.49779,164.67613,164.49779,164.54478
2014-12-02,164.54478,165.99252,163.26806,165.86012
2014-12-03,165.86012,166.99550,165.86012,166.81533
2014-12-04,166.81533,166.94850,164.77519,166.81533
2014-12-05,166.81533,167.08953,165.30511,165.30511
2014-12-06,165.30511,165.30511,165.30511,165.30511
2014-12-07,165.30511,165.30511,165.30511,165.30511
2014-12-08,165.30511,167.52833,165.07178,166.37916
2014-12-09,166.37916,167.52833,164.29716,164.29716
2014-12-10,164.29716,165.89850,164.29716,164.47997
2014-12-11,164.47997,165.89850,163.93616,164.70638
2014-12-12,164.70638,165.34999,163.59434,165.00523
2014-12-13,165.00523,165.00523,165.00523,165.00523
2014-12-14,163.59434,163.59434,163.59434,163.59434
2014-12-15,163.59434,165.00523,163.40788,163.66029
2014-12-16,163.66029,164.81716,163.10008,163.35686
2014-12-17,163.35686,165.50671,162.84853,163.47003
