Date,Open,High,Low,Close
2014-11-07,67.58390,67.99651,67.57866,67.99651
2014-11-08,67.99651,67.99651,67.99651,67.99651
2014-11-09,67.99651,67.99651,67.99651,67.99651
2014-11-10,67.99651,68.00178,67.75866,67.76918
2014-11-11,68.00764,68.01819,68.00236,68.00764
2014-11-12,68.00764,68.01819,67.80784,67.83244
2014-11-13,67.83244,67.83770,67.75747,67.76273
2014-11-14,67.76273,68.01819,67.75222,68.01291
2014-11-15,68.01291,68.01291,68.01291,68.01291
2014-11-16,68.01291,68.01291,68.01291,68.01291
2014-11-17,68.01291,68.01291,67.68659,67.69709
2014-11-18,67.69709,67.69709,67.46747,67.47271
2014-11-19,67.47271,67.47794,67.32569,67.33091
2014-11-20,67.32569,67.38247,67.31524,67.36679
2014-11-21,67.37202,68.09259,67.34588,68.06617
2014-11-22,68.06617,68.06617,68.06617,68.06617
2014-11-23,68.07674,68.07674,68.07145,68.07145
2014-11-24,68.13886,68.14414,67.91449,68.13886
2014-11-25,68.13886,68.15472,67.83072,68.10315
2014-11-26,68.10315,68.10844,67.71236,67.72287
2014-11-27,67.72287,67.73863,67.72287,67.73863
2014-11-28,67.73863,67.73863,67.69947,67.71523
2014-11-30,67.70998,67.71523,67.70472,67.71523
2014-12-01,67.71523,67.73457,67.69422,67.71881
2014-12-02,67.71881,68.27073,67.71355,68.27073
2014-12-03,68.27073,68.69923,68.26544,68.66924
2014-12-04,68.66924,68.69055,68.35983,68.69055
2014-12-05,68.69055,68.75390,68.38218,68.38749
2014-12-06,68.38749,68.38749,68.38749,68.38749
2014-12-07,68.38749,68.38749,68.38749,68.38749
2014-12-08,68.38749,68.93447,68.38218,68.92912
2014-12-09,68.92912,68.93447,68.19223,68.19752
2014-12-10,68.19752,68.26382,68.19223,68.25853
2014-12-11,68.25853,68.26382,68.02230,68.02757
2014-12-12,68.02757,68.03285,67.87520,67.89099
2014-12-13,67.89099,67.89099,67.89099,67.89099
2014-12-14,67.88573,67.89099,67.88573,67.88573
2014-12-15,67.88573,67.88573,67.79784,67.79784
2014-12-16,67.79784,67.80310,67.55528,67.56052
2014-12-17,67.56052,68.08149,67.53956,67.79732
2014-12-18,67.80258,68.84328,67.78680,68.81548
2014-12-19,68.81548,68.84217,68.75104,68.75104
2014-12-20,68.77237,68.77237,68.77237,68.77237
2014-12-21,68.77237,68.77237,68.75104,68.75104
2014-12-22,68.76704,69.12799,68.74037,68.94971
2014-12-23,68.94971,69.39438,68.91226,69.27407
2014-12-24,69.27407,69.27407,69.17631,69.18168
2014-12-25,69.18168,69.20855,69.18168,69.20855
2014-12-26,69.20855,69.21392,69.19243,69.19780
2014-12-27,69.20855,69.20855,69.20855,69.20855
2014-12-30,69.23110,69.42871,69.22036,69.40938
2014-12-31,69.40399,69.43631,69.34813,69.39322
2015-01-01,69.39322,69.43092,69.39322,69.41477
2015-01-02,69.41477,70.28372,69.39322,70.27281
2015-01-03,70.27281,70.27281,70.27281,70.27281
2015-01-04,70.27281,70.27826,70.27281,70.27826
2015-01-05,70.27826,70.95395,70.27281,70.92911
2015-01-06,70.92911,71.03399,70.83245,70.90050
2015-01-07,70.90050,71.58928,70.88950,71.50728
2015-01-08,71.50728,71.77064,71.50173,71.76507
2015-01-09,71.76507,71.80669,71.44282,71.80112
2015-01-10,71.80112,71.80112,71.80112,71.80112
2015-01-11,71.80112,71.80112,71.78998,71.80112
2015-01-12,71.80112,71.80669,71.39036,71.56904
2015-01-13,71.56904,71.78178,71.56349,71.76243
2015-01-14,71.76243,71.76243,71.49348,71.49903
2015-01-15,71.49903,72.95267,71.17950,72.93570
2015-01-16,72.93570,73.04782,72.92439,73.03649
2015-01-17,73.03649,73.03649,73.03649,73.03649
2015-01-18,73.03083,73.03649,73.02517,73.03083
2015-01-19,73.03083,73.04216,72.82691,72.84386
2015-01-20,72.84386,73.23715,72.82691,73.23147
2015-01-21,73.23147,73.25419,72.61338,72.86885
2015-01-22,72.86885,74.04883,72.69799,74.03735
