Date,Open,High,Low,Close
2014-11-10,4.59650,4.60220,4.59650,4.60220
2014-11-11,4.59380,4.59380,4.58940,4.59050
2014-11-12,4.54550,4.54660,4.54370,4.54660
2014-11-13,4.56360,4.56510,4.56310,4.56470
2014-11-14,4.53780,4.53850,4.52820,4.53090
2014-11-17,4.48510,4.49270,4.48510,4.49270
2014-11-18,4.51240,4.51240,4.50770,4.50770
2014-11-19,4.47330,4.47330,4.46790,4.47090
2014-11-20,4.42540,4.42760,4.42520,4.42760
2014-11-21,4.42140,4.42530,4.42140,4.42520
2014-11-24,4.49950,4.50030,4.49880,4.50010
2014-11-25,4.45380,4.45950,4.45380,4.45950
2014-11-26,4.46030,4.46030,4.45810,4.45810
2014-11-27,4.45540,4.45610,4.45470,4.45610
2014-11-28,4.46240,4.46240,4.45680,4.45680
2014-12-01,4.43590,4.43590,4.43380,4.43530
2014-12-02,4.44360,4.44480,4.44350,4.44430
2014-12-03,4.44120,4.44210,4.44030,4.44030
2014-12-04,4.44170,4.44180,4.44080,4.44180
2014-12-05,4.41910,4.41990,4.41830,4.41940
2014-12-08,4.38750,4.38890,4.38460,4.38500
2014-12-09,4.41100,4.41100,4.40780,4.40780
2014-12-10,4.43190,4.43390,4.42810,4.43390
2014-12-11,4.46410,4.46750,4.46290,4.46520
2014-12-12,4.44370,4.44630,4.44370,4.44580
2014-12-15,4.45090,4.45680,4.44960,4.44960
2014-12-16,4.46960,4.47260,4.46960,4.47260
2014-12-17,4.48840,4.48840,4.47820,4.47960
2014-12-18,4.47740,4.47740,4.47330,4.47470
2014-12-19,4.48630,4.48930,4.48630,4.48870
2014-12-22,4.48760,4.49130,4.48760,4.48950
2014-12-23,4.46480,4.46530,4.46310,4.46310
2014-12-24,4.46130,4.46160,4.46070,4.46100
2014-12-25,4.46630,4.46630,4.46470,4.46510
2014-12-26,4.46010,4.46270,4.46010,4.46100
2014-12-31,4.51310,4.51320,4.51200,4.51200
2015-01-02,4.52470,4.52620,4.52410,4.52480
2015-01-05,4.55390,4.56050,4.55390,4.56010
2015-01-06,4.59860,4.59860,4.59500,4.59700
2015-01-07,4.64830,4.65120,4.64740,4.65120
2015-01-08,4.64330,4.64330,4.64040,4.64040
2015-01-09,4.64260,4.64260,4.64000,4.64100
2015-01-12,4.67020,4.67160,4.66920,4.67160
2015-01-13,4.68510,4.68840,4.68510,4.68600
2015-01-14,4.72450,4.73290,4.72100,4.73290
2015-01-15,4.73450,4.73490,4.73210,4.73490
2015-01-16,4.84580,4.85860,4.84580,4.85720
2015-01-19,4.82580,4.82580,4.82260,4.82260
2015-01-20,4.80070,4.80160,4.79920,4.80160
2015-01-21,4.78320,4.78570,4.78190,4.78570
2015-01-22,4.79060,4.79060,4.78460,4.78460
2015-01-23,4.86360,4.87070,4.86360,4.86820
2015-01-26,4.99090,4.99590,4.97540,4.98210
2015-01-27,4.91680,4.91890,4.91420,4.91890
2015-01-28,4.89600,4.89600,4.89130,4.89580
2015-01-29,4.93760,4.93760,4.93440,4.93530
2015-01-30,4.89360,4.89750,4.89360,4.89730
2015-02-02,4.94710,4.94710,4.94050,4.94270
2015-02-03,4.92030,4.92260,4.92030,4.92130
2015-02-04,4.86310,4.86350,4.85820,4.85820
2015-02-05,4.93190,4.93190,4.92710,4.92710
2015-02-06,4.86540,4.86600,4.86510,4.86600
2015-02-09,4.86640,4.87240,4.86640,4.87160
2015-02-10,4.87900,4.87900,4.87710,4.87840
2015-02-11,4.85470,4.85470,4.85280,4.85280
2015-02-12,4.82560,4.82560,4.81930,4.81930
2015-02-13,4.83300,4.83620,4.83290,4.83290
2015-02-16,4.84530,4.84530,4.83990,4.84110
2015-02-17,4.88100,4.89090,4.88100,4.89060
2015-02-18,4.82650,4.82650,4.82010,4.82110
2015-02-19,4.84330,4.84380,4.84230,4.84230
2015-02-20,4.84730,4.84920,4.84670,4.84920
2015-02-23,4.84120,4.84390,4.84120,4.84310
2015-02-24,4.86570,4.86570,4.86200,4.86200
2015-02-25,4.86350,4.86660,4.86350,4.86570
2015-02-26,4.85390,4.85470,4.85340,4.85420
2015-02-27,4.90420,4.90540,4.90360,4.90530
2015-03-02,4.89870,4.89870,4.89570,4.89660
2015-03-03,4.87920,4.88150,4.87920,4.87980
2015-03-04,4.90190,4.90380,4.90080,4.90100
2015-03-05,4.94520,4.94750,4.94360,4.94360
2015-03-06,4.94940,4.95070,4.94720,4.94720
2015-03-09,5.00680,5.00860,5.00600,5.00600
2015-03-10,4.98110,4.98400,4.98090,4.98400
2015-03-11,5.05570,5.05570,5.05300,5.05510
2015-03-12,5.11720,5.12060,5.11680,5.12060
2015-03-13,5.08580,5.08880,5.08500,5.08880
2015-03-16,5.15100,5.15100,5.14570,5.14570
2015-03-17,5.10970,5.11210,5.10900,5.11150
2015-03-18,5.10000,5.10000,5.09730,5.09810
2015-03-19,5.03510,5.03510,5.01580,5.01580
2015-03-20,5.08790,5.09100,5.08700,5.09100
2015-03-23,5.05020,5.05360,5.04840,5.05360
2015-03-24,5.00080,5.00090,4.99810,4.99970
