Data,Open,High,Low,Close
2014-11-07,3.12918,3.14828,3.12918,3.14828
2014-11-09,3.14828,3.14828,3.14828,3.14828
2014-11-10,3.14828,3.14828,3.09141,3.09141
2014-11-11,3.10229,3.10229,3.10229,3.10229
2014-11-12,3.10229,3.10229,3.06687,3.07301
2014-11-13,3.07301,3.07301,3.02278,3.02278
2014-11-14,3.02278,3.05480,3.02278,3.05480
2014-11-16,3.05480,3.05480,3.05480,3.05480
2014-11-17,3.05480,3.05480,3.00386,3.00386
2014-11-18,3.00386,3.00386,2.99413,2.99413
2014-11-19,2.99413,2.99413,2.97217,2.97217
2014-11-20,2.97217,2.97445,2.93561,2.93785
2014-11-21,2.93785,2.96905,2.91695,2.94791
2014-11-23,2.94791,2.94791,2.94791,2.94791
2014-11-24,3.00302,3.01359,2.99336,3.01359
2014-11-25,3.01359,3.01359,2.93703,2.94791
2014-11-26,2.94791,2.96376,2.93145,2.94196
2014-11-27,2.94196,2.94196,2.94196,2.94196
2014-11-28,2.94196,2.94196,2.90989,2.90989
2014-11-30,2.90989,2.90989,2.90989,2.90989
2014-12-01,2.90989,2.91072,2.82585,2.82665
2014-12-02,2.82665,2.91810,2.82665,2.91810
2014-12-03,2.91810,2.94638,2.91810,2.94556
2014-12-04,2.94556,2.94556,2.91637,2.94556
2014-12-05,2.94556,2.94804,2.89013,2.92726
2014-12-06,2.92726,2.92726,2.92726,2.92726
2014-12-07,2.92726,2.92726,2.92726,2.92726
2014-12-08,2.92726,2.95044,2.87953,2.93975
2014-12-09,2.93975,2.93975,2.84575,2.84575
2014-12-10,2.84575,2.91644,2.84575,2.91115
2014-12-11,2.91115,2.91115,2.89097,2.89097
2014-12-12,2.89097,2.90680,2.88495,2.90074
2014-12-13,2.90074,2.90074,2.90074,2.90074
2014-12-14,2.90074,2.90074,2.90074,2.90074
2014-12-15,2.90074,2.91653,2.89743,2.91321
2014-12-16,2.91321,2.91321,2.87179,2.87179
2014-12-17,2.87179,2.90956,2.77746,2.78807
2014-12-18,2.78807,2.86224,2.78807,2.86197
2014-12-19,2.86197,2.86197,2.85929,2.85929
2014-12-21,2.85929,2.85929,2.85929,2.85929
2014-12-22,2.85929,2.87430,2.85929,2.86733
2014-12-23,2.86733,2.92351,2.86733,2.91890
2014-12-24,2.91890,2.91890,2.90652,2.90652
2014-12-25,2.90652,2.90652,2.90652,2.90652
2014-12-26,2.90652,2.90652,2.90652,2.90652
2014-12-30,2.92291,2.93080,2.89605,2.90305
2014-12-31,2.90305,2.90305,2.90117,2.90305
