Date,Open,High,Low,Close
2014-11-07,524.15002,527.34998,524.15002,527.34998
2014-11-10,527.34998,527.34998,525.75000,525.75000
2014-11-11,527.59998,527.59998,527.59998,527.59998
2014-11-12,527.59998,527.59998,526.04999,526.20001
2014-11-13,526.20001,526.20001,525.70001,525.70001
2014-11-14,525.70001,527.59998,525.70001,527.59998
2014-11-17,527.59998,527.59998,525.15002,525.15002
2014-11-18,525.15002,525.15002,523.45001,523.45001
2014-11-19,523.45001,523.45001,522.34998,522.34998
2014-11-20,522.34998,522.75000,522.34998,522.75000
2014-11-21,522.75000,528.29999,522.75000,528.29999
2014-11-24,528.70001,528.70001,527.00000,528.70001
2014-11-25,528.70001,528.70001,526.34998,528.29999
2014-11-26,528.29999,528.29999,525.34998,525.34998
2014-11-27,525.34998,525.34998,525.34998,525.34998
2014-11-28,525.34998,525.34998,525.25000,525.25000
2014-12-01,525.25000,525.40002,525.25000,525.40002
2014-12-02,525.40002,529.59998,525.40002,529.59998
2014-12-03,529.59998,532.79999,529.59998,532.65002
2014-12-04,532.65002,532.65002,530.25000,532.65002
2014-12-05,532.65002,533.09998,530.29999,530.29999
2014-12-08,530.29999,534.50000,530.29999,534.50000
2014-12-09,534.50000,534.50000,528.95001,528.95001
2014-12-10,528.95001,529.29999,528.95001,529.29999
2014-12-11,529.29999,529.29999,527.54999,527.54999
2014-12-12,527.54999,527.54999,526.45001,526.45001
2014-12-15,526.45001,526.45001,525.84998,525.84998
2014-12-16,525.84998,525.84998,524.04999,524.04999
2014-12-17,524.04999,528.04999,524.04999,526.04999
2014-12-18,526.04999,534.00000,526.04999,533.95001
2014-12-19,533.95001,533.95001,533.45001,533.45001
2014-12-22,533.45001,536.25000,533.45001,534.95001
2014-12-23,534.95001,538.40002,534.95001,537.54999
2014-12-24,537.54999,537.54999,537.25000,537.25000
2014-12-25,537.25000,537.25000,537.25000,537.25000
2014-12-26,537.25000,537.25000,537.25000,537.25000
2014-12-30,537.29999,538.75000,537.29999,538.59998
2014-12-31,538.59998,538.59998,538.25000,538.59998
2015-01-01,538.59998,538.59998,538.59998,538.59998
2015-01-02,538.59998,545.29999,538.59998,545.29999
2015-01-05,545.29999,550.50000,545.29999,550.34998
2015-01-06,550.34998,550.95001,549.59998,550.00000
2015-01-07,550.00000,555.29999,550.00000,554.75000
2015-01-08,554.75000,556.75000,554.75000,556.75000
2015-01-09,556.75000,556.90002,554.25000,556.90002
2015-01-12,556.90002,556.90002,553.79999,555.09998
2015-01-13,555.09998,556.75000,555.09998,556.59998
2015-01-14,556.59998,556.59998,554.59998,554.59998
2015-01-15,554.59998,565.70001,552.25000,565.70001
2015-01-16,565.70001,566.34998,565.70001,566.34998
2015-01-19,566.34998,566.34998,564.90002,564.90002
2015-01-20,564.90002,567.95001,564.90002,567.95001
2015-01-21,567.95001,567.95001,563.20001,565.04999
2015-01-22,565.04999,574.20001,563.90002,574.20001
2015-01-23,574.20001,575.25000,574.20001,574.23999
2015-01-26,574.23999,574.23999,566.00000,566.00000
2015-01-27,566.00000,580.25000,566.00000,580.00000
